Transaction Date,Post Date,Description,Category,Type,Amount,Memo
03/20/2025,03/21/2025,DROPBOX*2LYNRRK13MTG,Bills & Utilities,Sale,-11.99,
03/14/2025,03/16/2025,Spotify USA,Bills & Utilities,Sale,-19.99,
03/06/2025,03/09/2025,SAFEWAY FUEL1258,Gas,Sale,-79.84,
03/08/2025,03/09/2025,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
03/04/2025,03/06/2025,TST*NORTH BEACH GYROS,Food & Drink,Sale,-50.81,
03/02/2025,03/04/2025,HORSESHOE TAVERN,Food & Drink,Sale,-18.24,
03/02/2025,03/04/2025,HORSESHOE TAVERN,Food & Drink,Sale,-27.36,
03/02/2025,03/04/2025,HORSESHOE TAVERN,Food & Drink,Sale,-17.48,
02/25/2025,02/26/2025,AMAZON PRIME*T95527OS3,Bills & Utilities,Sale,-14.99,
02/23/2025,02/23/2025,AUTOMATIC PAYMENT - THANK,,Payment,136.97,
02/20/2025,02/21/2025,DROPBOX*12Z62ZFLP1PY,Bills & Utilities,Sale,-11.99,
02/14/2025,02/16/2025,Spotify USA,Bills & Utilities,Sale,-19.99,
02/08/2025,02/09/2025,Denner Brig-Furka,Groceries,Sale,-22.02,
02/08/2025,02/09/2025,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
02/05/2025,02/06/2025,BAR RISTORANTE BONTADINI,Food & Drink,Sale,-47.79,
02/05/2025,02/06/2025,ZBAG Trockener Steg Bille,Travel,Sale,-67.22,
02/05/2025,02/06/2025,BAR RISTORANTE BONTADINI,Food & Drink,Sale,-14.54,
02/05/2025,02/06/2025,HENNU-STALL ZERMATT,Travel,Sale,-27.87,
02/05/2025,02/06/2025,HENNU-STALL ZERMATT,Travel,Sale,-13.27,
01/28/2025,01/30/2025,TST*FLOUR &amp;  WATER PIZZE,Food & Drink,Sale,-19.00,
01/25/2025,01/28/2025,Amazon Prime*ZG1014PL1,Bills & Utilities,Sale,-14.99,
01/23/2025,01/23/2025,AUTOMATIC PAYMENT - THANK,,Payment,56.96,
01/20/2025,01/21/2025,DROPBOX*B45NMR9WVKKB,Bills & Utilities,Sale,-11.99,
01/14/2025,01/15/2025,Spotify USA,Bills & Utilities,Sale,-19.99,
01/08/2025,01/09/2025,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
01/01/2025,01/01/2025,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
