Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
3749,03/19/2025,03/20/2025,Payment Thank You-Mobile,,Payment,1264.08,
3749,03/15/2025,03/16/2025,WALGREENS #5599,Health & Wellness,Sale,-22.45,
3749,03/15/2025,03/16/2025,SQ *HUMMUS MEDITERRANEAN,Food & Drink,Sale,-59.69,
3749,03/15/2025,03/16/2025,SQ *SAINT FRANK COFFEE,Food & Drink,Sale,-21.00,
3749,03/13/2025,03/14/2025,AMAZON MKTPL*5J45R8MC3,Merchandise & Inventory,Sale,-140.06,
3749,03/13/2025,03/14/2025,AMAZON MKTPL*Z864K8AO3,Merchandise & Inventory,Sale,-55.34,
3749,03/13/2025,03/14/2025,AMAZON MKTPL*AS38T6QI3,Merchandise & Inventory,Sale,-38.01,
3749,03/12/2025,03/13/2025,Amazon.com*V468Q31D3,Merchandise & Inventory,Sale,-22.81,
3749,03/12/2025,03/12/2025,AUTOMATIC PAYMENT - THANK,,Payment,750.96,
3749,03/09/2025,03/11/2025,IN-N-OUT AUBURN,Food & Drink,Sale,-22.63,
3749,03/09/2025,03/11/2025,SAFEWAY #1722,Food & Drink,Sale,-173.84,
3749,03/09/2025,03/10/2025,TST* MOE'S ORIGINAL BBQ -,Food & Drink,Sale,-65.79,
3749,03/07/2025,03/09/2025,SAFEWAY #2258,Food & Drink,Sale,-226.53,
3749,03/06/2025,03/09/2025,HABIT DIXON #256,Food & Drink,Sale,-22.19,
3749,03/03/2025,03/04/2025,UBER   *TRIP,Travel,Sale,-8.96,
3749,03/02/2025,03/03/2025,LUKE'S LOCAL UNION,Food & Drink,Sale,-27.02,
3749,03/01/2025,03/02/2025,UBER   *TRIP,Travel,Sale,-7.93,
3749,02/22/2025,02/24/2025,WASH KIOSK MOBILE,Miscellaneous,Sale,-15.00,
3749,02/21/2025,02/23/2025,SEARCHLIGHT MARKET,Food & Drink,Sale,-44.74,
3749,02/22/2025,02/23/2025,UBER   *TRIP,Travel,Sale,-11.93,
3749,02/21/2025,02/21/2025,Hubspot Inc.,Merchandise & Inventory,Sale,-20.00,
3749,02/17/2025,02/18/2025,CHIPOTLE 2316,Food & Drink,Sale,-11.64,
3749,02/16/2025,02/18/2025,WILDFLOUR BAKING COMPA,Food & Drink,Sale,-29.00,
3749,02/16/2025,02/18/2025,PARALLEL MOUNTIAN SPOR,Merchandise & Inventory,Sale,-46.01,
3749,02/17/2025,02/18/2025,BURGER ME - TRUCKEE,Food & Drink,Sale,-19.42,
3749,02/15/2025,02/17/2025,STARBUCKS STORE 24654,Food & Drink,Sale,-15.65,
3749,02/14/2025,02/16/2025,AMAZON MKTPL*X555F5BY3,Merchandise & Inventory,Sale,-32.58,
3749,02/14/2025,02/16/2025,TRADER JOE S #200,Food & Drink,Sale,-42.00,
3749,02/15/2025,02/16/2025,PANDA EXPRESS 761,Food & Drink,Sale,-14.76,
3749,02/14/2025,02/16/2025,SQ *HUMMUS MEDITERRANEAN,Food & Drink,Sale,-47.10,
3749,02/13/2025,02/14/2025,SQ *SAINT FRANK COFFEE,Food & Drink,Sale,-27.04,
3749,02/12/2025,02/12/2025,AUTOMATIC PAYMENT - THANK,,Payment,265.77,
3749,02/11/2025,02/12/2025,WALGREENS #5599,Health & Wellness,Sale,-4.33,
3749,02/09/2025,02/10/2025,Confiserie Sprungli AG V1,Food & Drink,Sale,-24.34,
3749,02/05/2025,02/06/2025,BAR RISTORANTE BONTADINI,Food & Drink,Sale,-20.78,
3749,02/05/2025,02/06/2025,AMAZON MKTPL*Z77OQ53C1,Merchandise & Inventory,Sale,-24.97,
3749,02/04/2025,02/05/2025,Ice Buffet Bar Pizzeria,Food & Drink,Sale,-38.70,
3749,02/02/2025,02/03/2025,Ice Buffet Bar Pizzeria,Food & Drink,Sale,-5.40,
3749,02/02/2025,02/03/2025,Champagner Bar,Food & Drink,Sale,-18.52,
3749,02/01/2025,02/02/2025,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-99.00,
3749,02/01/2025,02/02/2025,Coop Tankstelle,Gas,Sale,-2.20,
3749,01/29/2025,01/30/2025,AMAZON MKTPL*ZC01868S0,Merchandise & Inventory,Sale,-19.54,
3749,01/28/2025,01/30/2025,WASH KIOSK MOBILE,Miscellaneous,Sale,-15.00,
3749,01/29/2025,01/29/2025,Amazon.com*ZG7391Y81,Merchandise & Inventory,Sale,-29.27,
3749,01/26/2025,01/29/2025,TRADER JOE S #200,Food & Drink,Sale,-55.29,
3749,01/25/2025,01/28/2025,MARINA PIZZA &amp; PASTA,Food & Drink,Sale,-12.84,
3749,01/26/2025,01/28/2025,SPORTS BASEMENT PRESIDIO,Merchandise & Inventory,Sale,-7.82,
3749,01/26/2025,01/28/2025,UBER   *TRIP,Travel,Sale,-9.43,
3749,01/25/2025,01/28/2025,UBER   *TRIP,Travel,Sale,-19.35,
3749,01/25/2025,01/28/2025,WAYMO,Travel,Sale,-19.00,
3749,01/25/2025,01/28/2025,SQ *FLOW TEA LLC,Food & Drink,Sale,-7.00,
3749,01/25/2025,01/28/2025,BLUE FOG MARKET,Food & Drink,Sale,-33.78,
3749,01/25/2025,01/28/2025,UBER   *TRIP,Travel,Sale,-8.01,
3749,01/24/2025,01/26/2025,UBER   *TRIP,Travel,Sale,-10.80,
3749,01/23/2025,01/24/2025,SEARCHLIGHT MARKET,Food & Drink,Sale,-13.25,
3749,01/21/2025,01/22/2025,LYFT   *RIDE MON 5AM,Travel,Sale,-39.95,
3749,01/21/2025,01/21/2025,Amazon.com*Z59G316S1,Merchandise & Inventory,Sale,-17.83,
