Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,03/20/2025,"Payment to Chase card ending in 8459 03/20",-806.36,LOAN_PMT,3030.78,,
DEBIT,03/20/2025,"Payment to Chase card ending in 3749 03/20",-1264.08,LOAN_PMT,3837.14,,
CREDIT,03/19/2025,"Online Transfer from SAV ...6722 transaction#: 24113651381",3000.00,ACCT_XFER,5101.22,,
DEBIT,03/17/2025,"VENMO            PAYMENT    1040910304698   WEB ID: 3264681992",-78.86,ACH_DEBIT,2101.22,,
DEBIT,03/17/2025,"VENMO            PAYMENT    1040883975747   WEB ID: 3264681992",-220.32,ACH_DEBIT,2180.08,,
DEBIT,03/13/2025,"CHASE CREDIT CRD AUTOPAYBUS                 PPD ID: 4760039224",-750.96,ACH_DEBIT,2400.40,,
DEBIT,03/04/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-130.47,ACH_DEBIT,3151.36,,
DEBIT,03/03/2025,"VENMO            PAYMENT    1040594970060   WEB ID: 3264681992",-55.00,ACH_DEBIT,3281.83,,
CREDIT,02/28/2025,"INTEREST PAYMENT",0.03,MISC_CREDIT,3336.83,,
DEBIT,02/24/2025,"APPLECARD GSBANK PAYMENT    112725213       WEB ID: 9999999999",-22.68,ACH_DEBIT,3336.80,,
DEBIT,02/24/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-136.97,ACH_DEBIT,3359.48,,
DEBIT,02/20/2025,"PGANDE           WEB ONLINE 22828884021525  WEB ID: 5940742640",-60.25,ACH_DEBIT,3496.45,,
DEBIT,02/20/2025,"VENMO            PAYMENT    1040376434132   WEB ID: 3264681992",-100.00,ACH_DEBIT,3556.70,,
DEBIT,02/13/2025,"CHASE CREDIT CRD AUTOPAYBUS                 PPD ID: 4760039224",-265.77,ACH_DEBIT,3656.70,,
DEBIT,02/06/2025,"Rocket Money     Premium    ST-D5I6S6I2G9P4 CCD ID: 1800948598",-36.00,MISC_DEBIT,3922.47,,
DEBIT,02/03/2025,"VENMO            PAYMENT    1039983863044   WEB ID: 3264681992",-176.67,ACH_DEBIT,3958.47,,
CREDIT,01/31/2025,"INTEREST PAYMENT",0.03,MISC_CREDIT,4135.14,,
DEBIT,01/31/2025,"Zelle payment to Avi JPM99awluu33",-2000.00,CHASE_TO_PARTNERFI,4135.11,,
DEBIT,01/27/2025,"VENMO            PAYMENT    1039875563356   WEB ID: 3264681992",-25.00,ACH_DEBIT,6135.11,,
DEBIT,01/27/2025,"VENMO            PAYMENT    1039883281819   WEB ID: 3264681992",-42.98,ACH_DEBIT,6160.11,,
DEBIT,01/27/2025,"VENMO            PAYMENT    1039883285705   WEB ID: 3264681992",-245.05,ACH_DEBIT,6203.09,,
CREDIT,01/27/2025,"Online Transfer from SAV ...6722 transaction#: 23522396332",3000.00,ACCT_XFER,6448.14,,
DEBIT,01/24/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-56.96,ACH_DEBIT,3448.14,,
DEBIT,01/24/2025,"VENMO            PAYMENT    1039801979995   WEB ID: 3264681992",-11.00,ACH_DEBIT,3505.10,,
DEBIT,01/24/2025,"Zelle payment to Avi JPM99avsgs17",-50.00,CHASE_TO_PARTNERFI,3516.10,,
DEBIT,01/23/2025,"PGANDE           WEB ONLINE 19214599011725  WEB ID: 5940742640",-64.50,ACH_DEBIT,3566.10,,
CREDIT,01/23/2025,"VENMO            CASHOUT                    PPD ID: 5264681992",1721.75,ACH_CREDIT,3630.60,,
DEBIT,01/22/2025,"Payment to Chase card ending in 8459 01/22",-1214.41,LOAN_PMT,1908.85,,
CREDIT,01/06/2025,"Online Transfer from SAV ...6722 transaction#: 23295565269",1000.00,ACCT_XFER,3123.26,,
DEBIT,01/03/2025,"Payment to Chase card ending in 8459 01/03",-1170.87,LOAN_PMT,2123.26,,
DEBIT,01/03/2025,"Payment to Chase card ending in 3749 01/03",-2357.83,LOAN_PMT,3294.13,,
CREDIT,01/03/2025,"Online Transfer from SAV ...6722 transaction#: 23275082102",2000.00,ACCT_XFER,5651.96,,
CREDIT,01/03/2025,"Online Transfer from SAV ...6722 transaction#: 23275029418",3000.00,ACCT_XFER,3651.96,,
DEBIT,01/02/2025,"APPLECARD GSBANK PAYMENT    112725213       WEB ID: 9999999999",-1015.04,ACH_DEBIT,651.96,,
