Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,03/21/2025,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4153.58,ACH_CREDIT,13447.70,,
DEBIT,03/19/2025,"Online Transfer to CHK ...3687 transaction#: 24113651381 03/19",-3000.00,ACCT_XFER,9294.12,,
DEBIT,03/17/2025,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-18.99,ACH_DEBIT,12294.12,,
DEBIT,03/10/2025,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-79.99,ACH_DEBIT,12313.11,,
CREDIT,03/07/2025,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4153.58,ACH_CREDIT,12393.10,,
DEBIT,03/03/2025,"MMG-0112-CK      WEB PMTS   J6PZ2J          WEB ID: 9000326709",-2649.57,ACH_DEBIT,8239.52,,
CREDIT,02/28/2025,"INTEREST PAYMENT",0.12,MISC_CREDIT,10889.09,,
DEBIT,02/27/2025,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-9.99,ACH_DEBIT,10888.97,,
CREDIT,02/21/2025,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4153.58,ACH_CREDIT,10898.96,,
DEBIT,02/18/2025,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-18.99,ACH_DEBIT,6745.38,,
CREDIT,02/07/2025,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4153.58,ACH_CREDIT,6764.37,,
DEBIT,02/03/2025,"MMG-0112-CK      WEB PMTS   N44DXH          WEB ID: 9000326709",-7998.71,ACH_DEBIT,2610.79,,
CREDIT,01/31/2025,"INTEREST PAYMENT",0.16,MISC_CREDIT,10609.50,,
DEBIT,01/27/2025,"Online Transfer to CHK ...3687 transaction#: 23522396332 01/27",-3000.00,ACCT_XFER,10609.34,,
DEBIT,01/27/2025,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-9.99,ACH_DEBIT,13609.34,,
CREDIT,01/24/2025,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4153.58,ACH_CREDIT,13619.33,,
DEBIT,01/16/2025,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-18.99,ACH_DEBIT,9465.75,,
CREDIT,01/10/2025,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4153.58,ACH_CREDIT,9484.74,,
DEBIT,01/06/2025,"Online Transfer to CHK ...3687 transaction#: 23295565269 01/06",-1000.00,ACCT_XFER,5331.16,,
DEBIT,01/03/2025,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-99.99,ACH_DEBIT,6331.16,,
DEBIT,01/03/2025,"Online Transfer to CHK ...3687 transaction#: 23275082102 01/03",-2000.00,ACCT_XFER,6431.15,,
DEBIT,01/03/2025,"Online Transfer to CHK ...3687 transaction#: 23275029418 01/03",-3000.00,ACCT_XFER,8431.15,,
DEBIT,01/02/2025,"MMG-0112-CK      WEB PMTS   HM83QH          WEB ID: 9000326709",-2649.57,ACH_DEBIT,11431.15,,
CREDIT,12/31/2024,"INTEREST PAYMENT",0.22,MISC_CREDIT,14080.72,,
DEBIT,12/27/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-9.99,ACH_DEBIT,14080.50,,
CREDIT,12/27/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4711.49,ACH_CREDIT,14090.49,,
DEBIT,12/16/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-18.99,ACH_DEBIT,9379.00,,
DEBIT,12/10/2024,"Online Transfer to CHK ...3687 transaction#: 22999632601 12/10",-3000.00,ACCT_XFER,9397.99,,
DEBIT,12/05/2024,"FID BKG SVC LLC  MONEYLINE                  PPD ID: 1035141383",-50000.00,ACH_DEBIT,12397.99,,
CREDIT,12/04/2024,"Online Transfer from CHK ...3687 transaction#: 22943271918",50000.00,ACCT_XFER,62397.99,,
DEBIT,12/02/2024,"MMG-0112-CK      WEB PMTS   RSB8JH          WEB ID: 9000326709",-2649.57,ACH_DEBIT,12397.99,,
CREDIT,11/29/2024,"INTEREST PAYMENT",0.45,MISC_CREDIT,15047.56,,
DEBIT,11/27/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-9.99,ACH_DEBIT,15047.11,,
DEBIT,11/25/2024,"Online Transfer to CHK ...3687 transaction#: 22828604586 11/25",-2000.00,ACCT_XFER,15057.10,,
DEBIT,11/18/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-18.99,ACH_DEBIT,17057.10,,
DEBIT,11/14/2024,"Online Transfer to CHK ...3687 transaction#: 22708430088 11/14",-5000.00,ACCT_XFER,17076.09,,
DEBIT,11/08/2024,"Wealthfront      EDI PYMNTS 21678C23EB8142  WEB ID: 4271967207",-40000.00,MISC_DEBIT,22076.09,,
CREDIT,11/01/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4727.21,ACH_CREDIT,62076.09,,
CREDIT,10/31/2024,"INTEREST PAYMENT",0.91,MISC_CREDIT,57348.88,,
CREDIT,10/29/2024,"Titan Global Cap ACH                        PPD ID: 2561673990",7.03,MISC_CREDIT,57347.97,,
DEBIT,10/28/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-9.99,ACH_DEBIT,57340.94,,
CREDIT,10/18/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4727.21,ACH_CREDIT,57350.93,,
DEBIT,10/16/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-18.99,ACH_DEBIT,52623.72,,
CREDIT,10/04/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4727.21,ACH_CREDIT,52642.71,,
CREDIT,09/30/2024,"INTEREST PAYMENT",0.81,MISC_CREDIT,47915.50,,
DEBIT,09/27/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-7.60,ACH_DEBIT,47914.69,,
DEBIT,09/24/2024,"Online Transfer to CHK ...3687 transaction#: 22161038379 09/24",-5000.00,ACCT_XFER,47922.29,,
DEBIT,09/20/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-2.99,ACH_DEBIT,52922.29,,
CREDIT,09/20/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4727.21,ACH_CREDIT,52925.28,,
DEBIT,09/16/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-18.99,ACH_DEBIT,48198.07,,
CREDIT,09/06/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4727.21,ACH_CREDIT,48217.06,,
DEBIT,09/03/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-35.99,ACH_DEBIT,43489.85,,
DEBIT,09/03/2024,"MMG-0112-CK      WEB PMTS   P3QGZG          WEB ID: 9000326709",-2649.57,ACH_DEBIT,43525.84,,
CREDIT,08/30/2024,"INTEREST PAYMENT",0.71,MISC_CREDIT,46175.41,,
CREDIT,08/23/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4727.21,ACH_CREDIT,46174.70,,
DEBIT,08/22/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-79.99,ACH_DEBIT,41447.49,,
DEBIT,08/20/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-2.99,ACH_DEBIT,41527.48,,
DEBIT,08/19/2024,"Online Transfer to CHK ...3687 transaction#: 21779438656 08/19",-1000.00,ACCT_XFER,41530.47,,
DEBIT,08/19/2024,"Online Transfer to CHK ...3687 transaction#: 21779402658 08/19",-33000.00,ACCT_XFER,42530.47,,
CREDIT,08/19/2024,"Online Transfer from CHK ...3687 transaction#: 21779404801",31000.00,ACCT_XFER,75530.47,,
DEBIT,08/16/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-18.99,ACH_DEBIT,44530.47,,
CREDIT,08/14/2024,"Titan Global Cap ACH                        PPD ID: 2561673990",0.01,MISC_CREDIT,44549.46,,
CREDIT,08/09/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4727.21,ACH_CREDIT,44549.45,,
DEBIT,08/08/2024,"Online Transfer to CHK ...3687 transaction#: 21666707082 08/08",-2000.00,ACCT_XFER,39822.24,,
CREDIT,08/05/2024,"Titan Global Cap ACH                        PPD ID: 2561673990",0.04,MISC_CREDIT,41822.24,,
DEBIT,08/02/2024,"MMG-0112-CK      WEB PMTS   77BVSG          WEB ID: 9000326709",-2684.55,ACH_DEBIT,41822.20,,
CREDIT,08/01/2024,"Titan Global Cap ACH                        PPD ID: 2561673990",0.80,MISC_CREDIT,44506.75,,
CREDIT,07/31/2024,"INTEREST PAYMENT",0.57,MISC_CREDIT,44505.95,,
CREDIT,07/30/2024,"Titan Global Cap ACH                        PPD ID: 2561673990",1.24,MISC_CREDIT,44505.38,,
CREDIT,07/26/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4727.21,ACH_CREDIT,44504.14,,
CREDIT,07/24/2024,"Titan Global Cap ACH                        PPD ID: 2561673990",10013.25,MISC_CREDIT,39776.93,,
CREDIT,07/23/2024,"Titan Global Cap ACH                        PPD ID: 2561673990",161.79,MISC_CREDIT,29763.68,,
DEBIT,07/22/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-2.99,ACH_DEBIT,29601.89,,
DEBIT,07/16/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-18.99,ACH_DEBIT,29604.88,,
CREDIT,07/12/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4727.21,ACH_CREDIT,29623.87,,
DEBIT,07/03/2024,"Online Transfer to CHK ...3687 transaction#: 21294770965 07/03",-4000.00,ACCT_XFER,24896.66,,
DEBIT,07/02/2024,"MMG-0112-CK      WEB PMTS   M2TZLG          WEB ID: 9000326709",-2684.55,ACH_DEBIT,28896.66,,
CREDIT,06/28/2024,"INTEREST PAYMENT",0.38,MISC_CREDIT,31581.21,,
CREDIT,06/28/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4727.21,ACH_CREDIT,31580.83,,
DEBIT,06/24/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-59.99,ACH_DEBIT,26853.62,,
DEBIT,06/20/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-2.99,ACH_DEBIT,26913.61,,
DEBIT,06/17/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-18.99,ACH_DEBIT,26916.60,,
CREDIT,06/14/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4727.21,ACH_CREDIT,26935.59,,
DEBIT,06/03/2024,"MMG-0112-CK      WEB PMTS   JRKRFG          WEB ID: 9000326709",-2684.55,ACH_DEBIT,22208.38,,
CREDIT,05/31/2024,"INTEREST PAYMENT",0.34,MISC_CREDIT,24892.93,,
CREDIT,05/31/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4293.67,ACH_CREDIT,24892.59,,
DEBIT,05/28/2024,"Online Transfer to CHK ...3687 transaction#: 20889294340 05/28",-1700.00,ACCT_XFER,20598.92,,
DEBIT,05/28/2024,"Payment to Chase card ending in 9870 05/28",-128.17,LOAN_PMT,22298.92,,
DEBIT,05/20/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-2.99,ACH_DEBIT,22427.09,,
CREDIT,05/17/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4293.67,ACH_CREDIT,22430.08,,
DEBIT,05/16/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-18.99,ACH_DEBIT,18136.41,,
DEBIT,05/03/2024,"Online Transfer to CHK ...3687 transaction#: 20668795517 05/03",-1500.00,ACCT_XFER,18155.40,,
CREDIT,05/03/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4293.67,ACH_CREDIT,19655.40,,
DEBIT,05/02/2024,"MMG-0112-CK      WEB PMTS   ZYSM7G          WEB ID: 9000326709",-2684.55,ACH_DEBIT,15361.73,,
CREDIT,04/30/2024,"INTEREST PAYMENT",0.31,MISC_CREDIT,18046.28,,
DEBIT,04/22/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-2.99,ACH_DEBIT,18045.97,,
CREDIT,04/19/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4293.67,ACH_CREDIT,18048.96,,
DEBIT,04/16/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-18.99,ACH_DEBIT,13755.29,,
DEBIT,04/16/2024,"Online Transfer to CHK ...3687 transaction#: 20487077680 04/16",-2000.00,ACCT_XFER,13774.28,,
DEBIT,04/08/2024,"FID BKG SVC LLC  MONEYLINE                  PPD ID: 1035141383",-7000.00,ACH_DEBIT,15774.28,,
CREDIT,04/05/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4293.67,ACH_CREDIT,22774.28,,
DEBIT,04/02/2024,"MMG-0112-CK      WEB PMTS   B6GZ1G          WEB ID: 9000326709",-2684.55,ACH_DEBIT,18480.61,,
DEBIT,04/01/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-3.99,ACH_DEBIT,21165.16,,
CREDIT,03/29/2024,"INTEREST PAYMENT",0.31,MISC_CREDIT,21169.15,,
CREDIT,03/22/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4293.67,ACH_CREDIT,21168.84,,
DEBIT,03/20/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-2.99,ACH_DEBIT,16875.17,,
DEBIT,03/18/2024,"Online Transfer to CHK ...3687 transaction#: 20185844330 03/18",-3000.00,ACCT_XFER,16878.16,,
DEBIT,03/14/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-18.99,ACH_DEBIT,19878.16,,
DEBIT,03/08/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-79.99,ACH_DEBIT,19897.15,,
CREDIT,03/08/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4293.67,ACH_CREDIT,19977.14,,
DEBIT,03/07/2024,"Online Transfer to CHK ...3687 transaction#: 20088270822 03/07",-3000.00,ACCT_XFER,15683.47,,
DEBIT,03/04/2024,"MMG-0112-CK      SIGONFILE                  PPD ID: 9000326709",-2684.55,ACH_DEBIT,18683.47,,
CREDIT,02/29/2024,"INTEREST PAYMENT",0.27,MISC_CREDIT,21368.02,,
CREDIT,02/23/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4293.67,ACH_CREDIT,21367.75,,
DEBIT,02/20/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-2.99,ACH_DEBIT,17074.08,,
DEBIT,02/16/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-18.99,ACH_DEBIT,17077.07,,
CREDIT,02/09/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4293.67,ACH_CREDIT,17096.06,,
DEBIT,02/02/2024,"MMG-0112-CK      SIGONFILE                  PPD ID: 9000326709",-2684.55,ACH_DEBIT,12802.39,,
CREDIT,01/31/2024,"INTEREST PAYMENT",0.81,MISC_CREDIT,15486.94,,
CREDIT,01/26/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4293.67,ACH_CREDIT,15486.13,,
DEBIT,01/22/2024,"Wealthfront      EDI PYMNTS A1EAA506FE354B  WEB ID: 4271967207",-50000.00,MISC_DEBIT,11192.46,,
DEBIT,01/22/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-2.99,ACH_DEBIT,61192.46,,
DEBIT,01/16/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-18.99,ACH_DEBIT,61195.45,,
CREDIT,01/12/2024,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4293.67,ACH_CREDIT,61214.44,,
DEBIT,01/08/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-99.99,ACH_DEBIT,56920.77,,
CREDIT,01/04/2024,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",1.03,ACH_CREDIT,57020.76,,
DEBIT,01/02/2024,"Yardi Service Ch SIGONFILE                  PPD ID: 9000278329",-0.95,ACH_DEBIT,57019.73,,
DEBIT,01/02/2024,"MMG-0112-CK      SIGONFILE                  PPD ID: 9000326709",-2684.55,ACH_DEBIT,57020.68,,
DEBIT,01/02/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,59705.23,,
CREDIT,12/29/2023,"INTEREST PAYMENT",0.93,MISC_CREDIT,59712.22,,
CREDIT,12/29/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4374.26,ACH_CREDIT,59711.29,,
DEBIT,12/21/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,55337.03,,
DEBIT,12/20/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-1.99,ACH_DEBIT,55344.02,,
DEBIT,12/20/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-2.99,ACH_DEBIT,55346.01,,
DEBIT,12/19/2023,"Payment to Chase card ending in 9870 12/19",-1956.50,LOAN_PMT,55349.00,,
DEBIT,12/19/2023,"Online Transfer to CHK ...3687 transaction#: 19335956161 12/19",-3000.00,ACCT_XFER,57305.50,,
DEBIT,12/18/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-6.99,ACH_DEBIT,60305.50,,
CREDIT,12/15/2023,"SHEPHERD LABS    PAYROLL                    PPD ID: 9117571000",4185.50,ACH_CREDIT,60312.49,,
DEBIT,12/14/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-18.99,ACH_DEBIT,56126.99,,
DEBIT,12/12/2023,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-149.99,ACH_DEBIT,56145.98,,
