Transaction Date,Post Date,Description,Category,Type,Amount,Memo
03/20/2025,03/21/2025,DROPBOX*2LYNRRK13MTG,Bills & Utilities,Sale,-11.99,
03/14/2025,03/16/2025,Spotify USA,Bills & Utilities,Sale,-19.99,
03/06/2025,03/09/2025,SAFEWAY FUEL1258,Gas,Sale,-79.84,
03/08/2025,03/09/2025,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
03/04/2025,03/06/2025,TST*NORTH BEACH GYROS,Food & Drink,Sale,-50.81,
03/02/2025,03/04/2025,HORSESHOE TAVERN,Food & Drink,Sale,-18.24,
03/02/2025,03/04/2025,HORSESHOE TAVERN,Food & Drink,Sale,-27.36,
03/02/2025,03/04/2025,HORSESHOE TAVERN,Food & Drink,Sale,-17.48,
02/25/2025,02/26/2025,AMAZON PRIME*T95527OS3,Bills & Utilities,Sale,-14.99,
02/23/2025,02/23/2025,AUTOMATIC PAYMENT - THANK,,Payment,136.97,
02/20/2025,02/21/2025,DROPBOX*12Z62ZFLP1PY,Bills & Utilities,Sale,-11.99,
02/14/2025,02/16/2025,Spotify USA,Bills & Utilities,Sale,-19.99,
02/08/2025,02/09/2025,Denner Brig-Furka,Groceries,Sale,-22.02,
02/08/2025,02/09/2025,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
02/05/2025,02/06/2025,BAR RISTORANTE BONTADINI,Food & Drink,Sale,-47.79,
02/05/2025,02/06/2025,ZBAG Trockener Steg Bille,Travel,Sale,-67.22,
02/05/2025,02/06/2025,BAR RISTORANTE BONTADINI,Food & Drink,Sale,-14.54,
02/05/2025,02/06/2025,HENNU-STALL ZERMATT,Travel,Sale,-27.87,
02/05/2025,02/06/2025,HENNU-STALL ZERMATT,Travel,Sale,-13.27,
01/28/2025,01/30/2025,TST*FLOUR &amp;  WATER PIZZE,Food & Drink,Sale,-19.00,
01/25/2025,01/28/2025,Amazon Prime*ZG1014PL1,Bills & Utilities,Sale,-14.99,
01/23/2025,01/23/2025,AUTOMATIC PAYMENT - THANK,,Payment,56.96,
01/20/2025,01/21/2025,DROPBOX*B45NMR9WVKKB,Bills & Utilities,Sale,-11.99,
01/14/2025,01/15/2025,Spotify USA,Bills & Utilities,Sale,-19.99,
01/08/2025,01/09/2025,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
01/01/2025,01/01/2025,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
12/25/2024,12/26/2024,Amazon Prime*ZE2VR1J50,Bills & Utilities,Sale,-14.99,
12/23/2024,12/23/2024,AUTOMATIC PAYMENT - THANK,,Payment,71.95,
12/20/2024,12/22/2024,DROPBOX*TN47RDHMXF4H,Bills & Utilities,Sale,-11.99,
12/14/2024,12/15/2024,Spotify USA,Bills & Utilities,Sale,-19.99,
12/08/2024,12/09/2024,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
11/25/2024,11/26/2024,Amazon Prime*N02T33K43,Bills & Utilities,Sale,-14.99,
11/22/2024,11/22/2024,AUTOMATIC PAYMENT - THANK,,Payment,101.96,
11/20/2024,11/21/2024,DROPBOX*KLR1MRPSF7Y3,Bills & Utilities,Sale,-11.99,
11/14/2024,11/15/2024,Spotify USA,Bills & Utilities,Sale,-19.99,
11/08/2024,11/08/2024,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
10/25/2024,10/27/2024,Amazon Prime*XK8506RE3,Bills & Utilities,Sale,-14.99,
10/23/2024,10/23/2024,AUTOMATIC PAYMENT - THANK,,Payment,56.96,
10/20/2024,10/21/2024,DROPBOX*D19G65HZQKZL,Bills & Utilities,Sale,-11.99,
10/16/2024,10/17/2024,AMZN Digital*VX3PM22C3,Shopping,Sale,-59.99,
10/14/2024,10/15/2024,Spotify USA,Bills & Utilities,Sale,-19.99,
10/08/2024,10/09/2024,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
09/25/2024,09/26/2024,Amazon Prime*WH9KG2913,Bills & Utilities,Sale,-14.99,
09/23/2024,09/23/2024,AUTOMATIC PAYMENT - THANK,,Payment,56.96,
09/20/2024,09/22/2024,DROPBOX*6N35BTD537T2,Bills & Utilities,Sale,-11.99,
09/14/2024,09/15/2024,Spotify USA,Bills & Utilities,Sale,-19.99,
09/08/2024,09/08/2024,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
08/25/2024,08/26/2024,Amazon Prime*R440F0HC0,Bills & Utilities,Sale,-14.99,
08/23/2024,08/23/2024,AUTOMATIC PAYMENT - THANK,,Payment,56.96,
08/20/2024,08/21/2024,Dropbox LMHVY1C4MNJM,Bills & Utilities,Sale,-11.99,
08/14/2024,08/15/2024,Spotify USA,Bills & Utilities,Sale,-19.99,
08/08/2024,08/08/2024,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
07/25/2024,07/26/2024,Amazon Prime*RV4AV9LJ2,Bills & Utilities,Sale,-14.99,
07/23/2024,07/23/2024,AUTOMATIC PAYMENT - THANK,,Payment,53.96,
07/20/2024,07/21/2024,Dropbox C9DH6W57FWLV,Bills & Utilities,Sale,-11.99,
07/14/2024,07/15/2024,Spotify USA,Bills & Utilities,Sale,-19.99,
07/08/2024,07/08/2024,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
06/25/2024,06/26/2024,Amazon Prime*RG58Q0R01,Bills & Utilities,Sale,-14.99,
06/23/2024,06/23/2024,AUTOMATIC PAYMENT - THANK,,Payment,14.99,
06/20/2024,06/21/2024,Dropbox SF7GQBMTNDXT,Bills & Utilities,Sale,-11.99,
06/14/2024,06/16/2024,Spotify USA,Bills & Utilities,Sale,-16.99,
06/08/2024,06/09/2024,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
05/25/2024,05/26/2024,Amazon Prime*353511553,Bills & Utilities,Sale,-14.99,
05/25/2024,05/26/2024,Payment Thank You - Web,,Payment,128.17,
05/23/2024,05/23/2024,AUTOMATIC PAYMENT - THANK,,Payment,143.16,
05/20/2024,05/21/2024,Dropbox N1VBG8NFKDC4,Bills & Utilities,Sale,-11.99,
05/14/2024,05/15/2024,Spotify USA,Bills & Utilities,Sale,-16.99,
05/08/2024,05/09/2024,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
05/01/2024,05/02/2024,CRUNCH100A,Health & Wellness,Sale,-89.20,
04/25/2024,04/26/2024,Amazon Prime*G11LK9CW3,Bills & Utilities,Sale,-14.99,
04/23/2024,04/23/2024,AUTOMATIC PAYMENT - THANK,,Payment,87.23,
04/20/2024,04/21/2024,Dropbox Z2RN2Z1LGQTJ,Bills & Utilities,Sale,-11.99,
04/14/2024,04/15/2024,Spotify USA,Bills & Utilities,Sale,-16.99,
04/08/2024,04/08/2024,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
04/01/2024,04/02/2024,CRUNCH100A,Health & Wellness,Sale,-89.20,
03/25/2024,03/26/2024,Amazon Prime*RA8PB33X2,Bills & Utilities,Sale,-14.99,
03/20/2024,03/21/2024,Dropbox VYTM7TSKBFNG,Bills & Utilities,Sale,-11.99,
03/14/2024,03/15/2024,Spotify USA,Bills & Utilities,Sale,-16.99,
03/08/2024,03/10/2024,ADOBE  *800-833-6687,Shopping,Sale,-9.99,
03/07/2024,03/07/2024,Payment Thank You - Web,,Payment,851.81,
03/05/2024,03/07/2024,PERSEPHONE BAKERY,Food & Drink,Sale,-33.27,
03/04/2024,03/06/2024,JHMR CORBET'S CABIN,Food & Drink,Sale,-10.16,
03/05/2024,03/06/2024,SQ *D.O.G.,Food & Drink,Sale,-12.00,
03/05/2024,03/06/2024,TST* MANGY MOOSE RESTAURA,Food & Drink,Sale,-21.28,
03/03/2024,03/05/2024,JHMR CASPER RESTAURANT,Food & Drink,Sale,-12.10,
03/02/2024,03/03/2024,LOAF N JUG #0136,Gas,Sale,-5.50,
03/01/2024,03/03/2024,JHMR CASPER RESTAURANT,Food & Drink,Sale,-7.70,
03/01/2024,03/03/2024,CRUNCH100A,Health & Wellness,Sale,-89.20,
02/29/2024,03/01/2024,LYFT   1 RIDE 02-28,Travel,Sale,-62.48,
02/28/2024,03/01/2024,TST* VALENCIA STREET STAT,Food & Drink,Sale,-14.10,
02/29/2024,03/01/2024,SQ *CASPER DEMO TENT,Shopping,Sale,-30.00,
02/28/2024,03/01/2024,TST* BIN 22,Food & Drink,Sale,-47.24,
02/28/2024,02/29/2024,COWBOY COFFEE CO.,Food & Drink,Sale,-3.66,
02/28/2024,02/29/2024,LOAF N JUG #0136,Gas,Sale,-5.50,
