Transaction Date,Post Date,Description,Category,Type,Amount,Memo
03/19/2025,03/20/2025,Payment Thank You-Mobile,,Payment,806.36,
03/11/2025,03/11/2025,COMCAST CALIFORNIA,Bills & Utilities,Sale,-43.00,
03/07/2025,03/07/2025,SP ZWIFT INC.,Shopping,Sale,-19.99,
03/05/2025,03/05/2025,1PASSWORD,Shopping,Sale,-35.88,
03/03/2025,03/03/2025,AUTOMATIC PAYMENT - THANK,,Payment,130.47,
02/28/2025,02/28/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
02/25/2025,02/26/2025,ERACTOLL 663974221,Travel,Sale,-25.90,
02/21/2025,02/23/2025,ADOBE  *800-833-6687,Shopping,Sale,-22.99,
02/18/2025,02/19/2025,ENTERPRISE RENT-A-CAR,Travel,Sale,-292.73,
02/11/2025,02/13/2025,TST*THAI SPICE RESTAURAN,Food & Drink,Sale,-83.88,
02/11/2025,02/11/2025,COMCAST CALIFORNIA,Bills & Utilities,Sale,-43.00,
02/09/2025,02/09/2025,ONE MEDICAL,Health & Wellness,Sale,-199.00,
02/07/2025,02/07/2025,SP ZWIFT INC.,Shopping,Sale,-19.99,
01/28/2025,01/29/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
01/24/2025,01/28/2025,AUDIO AND BERGERAC,Food & Drink,Sale,-34.74,
01/24/2025,01/28/2025,AUDIO AND BERGERAC,Food & Drink,Sale,-15.34,
01/24/2025,01/28/2025,AUDIO AND BERGERAC,Food & Drink,Sale,-37.40,
01/21/2025,01/22/2025,Payment Thank You-Mobile,,Payment,1214.41,
01/21/2025,01/22/2025,ADOBE  *800-833-6687,Shopping,Sale,-22.99,
01/19/2025,01/20/2025,SQ *MOH MOH TUN LLC,Food & Drink,Sale,-14.00,
01/19/2025,01/20/2025,SQ *HAVEN COFFEE CO.,Food & Drink,Sale,-4.50,
01/16/2025,01/19/2025,CHINA LIVE,Food & Drink,Sale,-287.13,
01/17/2025,01/19/2025,SEARCHLIGHT MARKET,Groceries,Sale,-10.79,
01/17/2025,01/19/2025,SEARCHLIGHT MARKET,Groceries,Sale,-6.69,
01/11/2025,01/13/2025,TWENTY TWO BISTRO,Food & Drink,Sale,-17.15,
01/12/2025,01/13/2025,COSTCO GAS #0482,Gas,Sale,-74.53,
01/12/2025,01/13/2025,COSTCO WHSE #0482,Shopping,Sale,-157.48,
01/11/2025,01/12/2025,COMCAST CALIFORNIA,Bills & Utilities,Sale,-40.00,
01/07/2025,01/07/2025,SP ZWIFT INC.,Shopping,Sale,-19.99,
01/04/2025,01/05/2025,TST*SEVEN HILLS SF,Food & Drink,Sale,-231.13,
01/02/2025,01/05/2025,SHELL OIL 50450600023,Gas,Sale,-52.11,
01/04/2025,01/05/2025,UEP*DUMPLING STORY FILLMO,Food & Drink,Sale,-160.99,
01/03/2025,01/05/2025,SFMTA CIT PYMNT WEB,Bills & Utilities,Sale,-97.00,
01/03/2025,01/03/2025,Payment Thank You - Web,,Payment,1170.87,
01/02/2025,01/03/2025,CHEVRON 0376810,Gas,Sale,-38.63,
01/02/2025,01/03/2025,WA SHE SHU TRAVEL PLAZA,Gas,Sale,-2.29,
12/31/2024,01/01/2025,DRI*rekordbox,Shopping,Sale,-228.00,
12/27/2024,12/29/2024,SQ *RENO AXE,Food & Drink,Sale,-18.00,
12/29/2024,12/29/2024,SQ *LAKANUKI BAR &amp; RESTAU,Food & Drink,Sale,-42.99,
12/27/2024,12/29/2024,BEARCO SINCLAIR,Gas,Sale,-60.14,
12/27/2024,12/29/2024,RENO PARKING METERS,Travel,Sale,-2.00,
12/28/2024,12/29/2024,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
12/25/2024,12/27/2024,KOI SUSHI,Food & Drink,Sale,-250.76,
12/23/2024,12/24/2024,PHO HUYNH HIEP #2,Food & Drink,Sale,-117.38,
12/21/2024,12/22/2024,ADOBE  *800-833-6687,Shopping,Sale,-22.99,
12/17/2024,12/20/2024,ALASKA AIR  0272391317462,Travel,Sale,-56.19,
12/13/2024,12/15/2024,TST*MENSHO - GEARY,Food & Drink,Sale,-107.12,
12/11/2024,12/12/2024,BAO RESTAURANT,Food & Drink,Sale,-58.01,
12/11/2024,12/12/2024,COMCAST CALIFORNIA,Bills & Utilities,Sale,-40.00,
12/11/2024,12/12/2024,BART-CLIPPER 16TH ST MS,Travel,Sale,-2.30,
12/08/2024,12/09/2024,GUMMYSEARCH.COM,Shopping,Sale,-10.00,
12/07/2024,12/08/2024,SP ZWIFT INC.,Shopping,Sale,-19.99,
12/01/2024,12/01/2024,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
11/28/2024,11/28/2024,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
11/25/2024,11/26/2024,Payment Thank You-Mobile,,Payment,185.96,
11/21/2024,11/22/2024,ADOBE  *800-833-6687,Shopping,Sale,-22.99,
11/11/2024,11/11/2024,COMCAST CALIFORNIA,Bills & Utilities,Sale,-40.00,
11/07/2024,11/07/2024,SP ZWIFT INC.,Shopping,Sale,-19.99,
11/03/2024,11/03/2024,AUTOMATIC PAYMENT - THANK,,Payment,120.89,
10/28/2024,10/28/2024,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
10/21/2024,10/22/2024,ADOBE  *800-833-6687,Shopping,Sale,-22.99,
10/11/2024,10/13/2024,COMCAST CALIFORNIA,Bills & Utilities,Sale,-40.00,
10/07/2024,10/07/2024,SP ZWIFT INC.,Shopping,Sale,-19.99,
10/05/2024,10/06/2024,SP REASON CLOTHING,Shopping,Sale,-17.91,
10/03/2024,10/03/2024,AUTOMATIC PAYMENT - THANK,,Payment,158.37,
09/28/2024,09/29/2024,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
09/21/2024,09/22/2024,ADOBE  *800-833-6687,Shopping,Sale,-22.99,
09/11/2024,09/11/2024,COMCAST CALIFORNIA,Bills & Utilities,Sale,-40.00,
09/07/2024,09/08/2024,ZWIFT INC.,Shopping,Sale,-19.99,
09/03/2024,09/03/2024,AUTOMATIC PAYMENT - THANK,,Payment,268.98,
09/03/2024,09/03/2024,UBER   *EATS,Food & Drink,Sale,-55.39,
08/28/2024,08/28/2024,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
08/21/2024,08/22/2024,ADOBE  *800-833-6687,Shopping,Sale,-22.99,
08/11/2024,08/11/2024,COMCAST CALIFORNIA,Bills & Utilities,Sale,-40.00,
08/07/2024,08/07/2024,ZWIFT INC.,Shopping,Sale,-19.99,
08/02/2024,08/02/2024,AUTOMATIC PAYMENT - THANK,,Payment,95.70,
07/28/2024,07/28/2024,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
07/21/2024,07/21/2024,ADOBE  *800-833-6687,Shopping,Sale,-20.99,
07/11/2024,07/11/2024,COMCAST CALIFORNIA,Bills & Utilities,Sale,-40.00,
07/10/2024,07/10/2024,SQSP* INV140344355,Professional Services,Sale,-168.00,
07/07/2024,07/07/2024,SP ZWIFT  INC.,Shopping,Sale,-19.99,
07/03/2024,07/03/2024,AUTOMATIC PAYMENT - THANK,,Payment,20.00,
06/28/2024,06/28/2024,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
06/25/2024,06/25/2024,SQUARESPACE 137919385,Professional Services,Sale,-20.00,
06/21/2024,06/23/2024,ADOBE  *800-833-6687,Shopping,Sale,-20.99,
06/11/2024,06/11/2024,COMCAST CALIFORNIA,Bills & Utilities,Sale,-14.72,
06/07/2024,06/07/2024,SP ZWIFT  INC.,Shopping,Sale,-19.99,
05/28/2024,05/28/2024,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20.00,
05/25/2024,05/26/2024,Payment Thank You - Web,,Payment,450.67,
05/21/2024,05/22/2024,ADOBE  *800-833-6687,Shopping,Sale,-20.99,
05/11/2024,05/12/2024,SP WMP EYEWEAR,Health & Wellness,Sale,-46.97,
05/11/2024,05/12/2024,COMCAST CALIFORNIA,Bills & Utilities,Sale,-94.60,
05/07/2024,05/07/2024,SP ZWIFT  INC.,Shopping,Sale,-14.99,
04/28/2024,04/28/2024,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.00,
04/21/2024,04/22/2024,ADOBE  *800-833-6687,Shopping,Sale,-20.99,
04/16/2024,04/17/2024,WWW.LIMITLESS.AI,Shopping,Sale,-122.54,
04/16/2024,04/16/2024,Payment Thank You - Web,,Payment,204.85,
04/11/2024,04/11/2024,COMCAST CALIFORNIA,Bills & Utilities,Sale,-94.60,
04/07/2024,04/07/2024,SP ZWIFT  INC.,Shopping,Sale,-14.99,
03/28/2024,03/28/2024,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.00,
03/21/2024,03/22/2024,ADOBE  *800-833-6687,Shopping,Sale,-20.99,
03/19/2024,03/20/2024,SP TETON-GRAVITY,Shopping,Sale,-54.27,
03/11/2024,03/11/2024,COMCAST CALIFORNIA,Bills & Utilities,Sale,-94.60,
03/07/2024,03/07/2024,Payment Thank You - Web,,Payment,613.76,
03/07/2024,03/07/2024,SP ZWIFT  INC.,Shopping,Sale,-14.99,
03/05/2024,03/05/2024,1PASSWORD,Shopping,Sale,-35.88,
03/03/2024,03/03/2024,AUTOMATIC PAYMENT - THANK,,Payment,825.81,
02/28/2024,02/28/2024,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.00,
02/24/2024,02/26/2024,TUPELO,Food & Drink,Sale,-26.72,
02/23/2024,02/25/2024,GITHUB  INC.,Professional Services,Return,0.32,
02/23/2024,02/25/2024,TST* PATXI'S PIZZA - HAYE,Food & Drink,Sale,-34.51,
02/20/2024,02/21/2024,ADOBE INC.,Shopping,Sale,-20.99,
02/19/2024,02/20/2024,EXXON T&amp;R SERVICE,Gas,Sale,-79.02,
02/17/2024,02/19/2024,SIERRA STATION 5,Gas,Sale,-68.06,
02/11/2024,02/13/2024,BUS STOP,Food & Drink,Sale,-19.99,
02/11/2024,02/11/2024,COMCAST CALIFORNIA,Bills & Utilities,Sale,-94.60,
02/09/2024,02/09/2024,ONE MEDICAL,Health & Wellness,Sale,-199.00,
02/07/2024,02/07/2024,SP ZWIFT  INC.,Shopping,Sale,-14.99,
02/04/2024,02/06/2024,IN-N-OUT AUBURN,Food & Drink,Sale,-14.32,
02/04/2024,02/05/2024,FIFTY FIFTY BREWING,Food & Drink,Sale,-61.23,
02/02/2024,02/02/2024,AUTOMATIC PAYMENT - THANK,,Payment,488.03,
01/28/2024,01/28/2024,CHATGPT SUBSCRIPTION,Shopping,Sale,-20.00,
01/24/2024,01/25/2024,GITHUB  INC.,Professional Services,Sale,-10.00,
01/20/2024,01/22/2024,PALM HOUSE,Food & Drink,Sale,-34.39,
01/20/2024,01/21/2024,THE MAKE OUT ROOM,Food & Drink,Sale,-18.40,
01/20/2024,01/21/2024,TST* SOUTHERN PACIFIC BRE,Food & Drink,Sale,-19.59,
01/15/2024,01/16/2024,76 - SIERRA ENERGY 13,Gas,Sale,-72.39,
01/13/2024,01/15/2024,SAFEWAY #2258,Groceries,Sale,-119.51,
01/14/2024,01/15/2024,SQ *RMU TRUCKEE LLC,Food & Drink,Sale,-53.30,
01/12/2024,01/14/2024,BEAR BELLY BREWING CO,Food & Drink,Sale,-9.48,
01/11/2024,01/12/2024,SPEEDWAY 43081,Gas,Sale,-75.85,
01/10/2024,01/12/2024,R &amp; G LOUNGE,Food & Drink,Sale,-154.56,
